,,,,,,,,,,,,,,,,,
Dantex,,,,,,,,,,,,,,,,,
,Серия ADVANCE PRO PLUS 2 INVERTER,,инвертор,wi-fi,труба жидкостная,труба газовая,кабель межблочный,кабель питания,автомат эл,настенный кронштейн,Кронштейн с планкой Tecnosystemi ,гарантия,подключение питания,"max длинна трубопровода, м","max перепад высот, м",Короб и фасонные части к нему,"РРЦ, руб"
,,RK-09SAT2I/RK-09SAT2IE,да,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,Наружный блок,25,10,OPT 62,1890
,,RK-12SAT2I/RK-12SAT2IE,да,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,Наружный блок,25,10,OPT 62,1995
,,RK-18SAT2I/RK-18SAT2IE,да,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),4 года ,Наружный блок,25,10,OPT 75,3290
,,RK-24SAT2I/RK-24SAT2IE,да,опция,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),4 года ,Наружный блок,25,10,OPT 102,3850
,,,,,,,,,,,,,,,,,
,Серия SPACE 3 INVERTER,,,,,,,,,,,,,,,,
,,RK-09SSI3/RK-09SSI3E,да,нет,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,Наружный блок,15,10,OPT 62,1970
,,RK-12SSI3/RK-12SSI3E,да,нет,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,Наружный блок,15,10,OPT 62,2230
,,RK-18SSI3/RK-18SSI3E,да,нет,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),4 года ,Наружный блок,25,10,OPT 75,3460
,,RK-24SSI3/RK-24SSI3E,да,нет,"1/4"" (6,35мм)","5/8""(15,9мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),4 года ,Наружный блок,25,10,OPT 102,4150
,,,,,,,,,,,,,,,,,
,Серия CORSO INVERTER,,,,,,,,,,,,,,,,
,,RK-09SDMI/RK-09SDMIE,да,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,Наружный блок,25,10,OPT 62,1680
,,RK-12SDMI/RK-12SDMIE,да,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,Наружный блок,25,10,OPT 62,1750
,,RK-18SDMI/RK-18SDMIE,да,опция,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),4 года ,Наружный блок,30,20,OPT 75,2730
,,RK-24SDMI/RK-24SDMIE,да,опция,"3/8"" (9,53мм)","5/8""(15,9мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),4 года ,Наружный блок,50,25,OPT 102,3675
,,,,,,,,,,,,,,,,,
,"ADVANCE PRO PLUS 2 
INVERTER",,,,,,,,,,,,,,,,
,,RK-09SAT2I/RK-09SAT2IE,да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,Наружный блок,25,10,OPT 62,1890
,,RK-12SAT2I/RK-12SAT2IE,да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,Наружный блок,25,10,OPT 62,1995
